input,output
Show users who have placed orders in the last 3 months,"SELECT u.name FROM users u JOIN orders o ON u.id = o.user_id WHERE o.order_date >= DATE('now', '-3 months');"
Get all distinct user names,SELECT DISTINCT name FROM users;
List users whose signup date is after '2024-01-01' and before '2024-03-31',"SELECT id, name FROM users WHERE signup_date BETWEEN '2024-01-01' AND '2024-03-31';"
Show users whose name contains 'an',"SELECT id, name FROM users WHERE name LIKE '%an%';"
Find users by email 'support@company.com',"SELECT id, name FROM users WHERE email = 'support@company.com';"
Get the latest signup date among all users,SELECT MAX(signup_date) FROM users;
List orders with amount greater than or equal to 50,"SELECT order_id, user_id FROM orders WHERE amount >= 50;"
Show orders placed in the second quarter of 2023,"SELECT order_id, user_id FROM orders WHERE strftime('%Y-%m', order_date) BETWEEN '2023-04' AND '2023-06';"
Find orders by user ID 40,"SELECT order_id, amount FROM orders WHERE user_id = 40;"
Count orders with amount less than or equal to 100,SELECT COUNT(order_id) FROM orders WHERE amount <= 100;
Get order ID and amount for orders placed in the last 60 days,"SELECT order_id, amount FROM orders WHERE order_date >= DATE('now', '-60 days');"
List orders with amount not equal to 0,"SELECT order_id, amount FROM orders WHERE amount != 0;"
Show orders placed in October 2022,"SELECT order_id, amount FROM orders WHERE strftime('%Y-%m', order_date) = '2022-10';"
Find the sum of amounts for orders from user 1,SELECT SUM(amount) FROM orders WHERE user_id = 1;
Get the average amount of orders placed in July,"SELECT AVG(amount) FROM orders WHERE strftime('%m', order_date) = '07';"
List orders where order_date is '2024-07-05',"SELECT order_id, user_id FROM orders WHERE order_date = '2024-07-05';"
List products with stock exactly 10,"SELECT product_id, name FROM products WHERE stock = 10;"
Show products with price less than 75,"SELECT product_id, name FROM products WHERE price < 75;"
Find products by name 'Headphones',"SELECT product_id, price FROM products WHERE name = 'Headphones';"
Count products with stock greater than 50,SELECT COUNT(product_id) FROM products WHERE category_id = 3;
Get product name and category ID for product ID 50,"SELECT name, category_id FROM products WHERE product_id = 50;"
List products whose name contains 'light',"SELECT product_id, name FROM products WHERE name LIKE '%light%';"
Show products with price between 200 and 400,"SELECT product_id, name FROM products WHERE price BETWEEN 200 AND 400;"
Find the total stock quantity for products with price over 100,SELECT SUM(stock) FROM products WHERE price > 100;
Get the average price of products with stock less than 5,SELECT AVG(price) FROM products WHERE stock < 5;
List products with price exactly 99.99,"SELECT product_id, name FROM products WHERE price = 99.99;"
Get category name for ID 7,SELECT category_name FROM categories WHERE category_id = 7;
List categories whose name contains 'tech',"SELECT category_id, category_name FROM categories WHERE category_name LIKE '%tech%';"
Show categories with ID between 1 and 3,"SELECT category_id, category_name FROM categories WHERE category_id BETWEEN 1 AND 3;"
Find the number of unique category names,SELECT COUNT(DISTINCT category_name) FROM categories;
Get all category IDs in ascending order,SELECT category_name FROM categories ORDER BY category_name ASC;
List reviews with rating 3,"SELECT review_id, review_text FROM reviews WHERE rating = 3;"
Show reviews for user ID 30,"SELECT review_id, review_text FROM reviews WHERE user_id = 30;"
Find reviews with text 'average',"SELECT review_id, review_text FROM reviews WHERE review_text LIKE '%average%';"
Count reviews for product ID 65,SELECT COUNT(review_id) FROM reviews WHERE product_id = 65;
Get review ID and user ID for review '215',"SELECT user_id, rating FROM reviews WHERE review_id = 215;"
Show reviews with rating greater than 4,"SELECT review_id, review_text FROM reviews WHERE rating > 4;"
Get the earliest review date,SELECT MIN(review_date) FROM reviews;
List reviews whose text contains 'delivery',"SELECT review_id, review_text FROM reviews WHERE review_text LIKE '%delivery%';"
List payments with status 'authorized',"SELECT payment_id, order_id FROM payments WHERE payment_status = 'authorized';"
Show payments made on '2024-04-01',"SELECT payment_id, order_id FROM payments WHERE payment_date = '2024-04-01';"
Find payments by order ID 150,"SELECT payment_id, payment_status FROM payments WHERE order_id = 150;"
Count payments made via 'Gift Card',SELECT COUNT(payment_id) FROM payments WHERE payment_method = 'Gift Card';
Get payment ID and method for payment '325',"SELECT order_id, payment_status FROM payments WHERE payment_id = 325;"
Show payments made after '2024-01-15',"SELECT payment_id, order_id FROM payments WHERE payment_date > '2024-01-15';"
Find the total number of pending payments made via 'Bank Transfer',SELECT COUNT(payment_id) FROM payments WHERE payment_status = 'pending' AND payment_method = 'Bank Transfer';
Get the latest payment date for successful payments,SELECT MAX(payment_date) FROM payments WHERE payment_status = 'successful';
List payments by status 'refunded',"SELECT payment_id, order_id FROM payments WHERE payment_status = 'refunded';"
Get user names and their email addresses,"SELECT name, email FROM users;"
Show product names and their prices,"SELECT name, price FROM products;"
List users and the order amounts they placed,"SELECT u.name, o.amount FROM users u JOIN orders o ON u.id = o.user_id;"
Find products that have reviews and their ratings,"SELECT p.name, r.rating FROM products p JOIN reviews r ON p.product_id = r.product_id;"
Get order IDs and the payment methods used,"SELECT o.order_id, p.payment_method FROM orders o JOIN payments p ON o.order_id = p.order_id;"
List products that belong to a category,SELECT p.name FROM products p JOIN categories c ON p.category_id = c.category_id;
Find reviews and the names of the users who wrote them,"SELECT r.review_text, u.name FROM reviews r JOIN users u ON r.user_id = u.id;"
Get order dates and the names of the users who placed them,"SELECT o.order_date, u.name FROM orders o JOIN users u ON o.user_id = u.id;"
Show category names and the products belonging to them,"SELECT c.category_name, p.name FROM categories c JOIN products p ON c.category_id = p.category_id;"
